Date: 2023-11-15 22:10:36.297852, Interval: 3.574, Type:Normal
Date: 2023-11-15 22:10:39.544417, Interval: 2.594, Type:Yawning
Date: 2023-11-15 22:10:42.316996, Interval: 2.772, Type:Normal
Date: 2023-11-15 22:31:51.340720, Interval: 7.638, Type: Eyes not on road
Date: 2023-11-15 22:36:55.983265, Interval: 5.708, Type: Eyes not on road
Date: 2023-11-15 22:38:04.929401, Interval: 3.769, Type: Eyes not on road
Date: 2023-11-15 22:38:09.129597, Interval: 4.188, Type:Normal
Date: 2023-11-15 22:56:42.782226, Interval: 3.454, Type: Eyes not on road
Date: 2023-11-15 22:56:45.814459, Interval: 3.021, Type:Normal
Date: 2023-11-15 23:07:26.434093, Interval: 4.313, Type: Eyes not on road
Date: 2023-11-15 23:10:32.127970, Interval: 5.006, Type: Eyes not on road
Date: 2023-11-15 23:11:09.850974, Interval: 5.511, Type: Eyes not on road
Date: 2023-11-15 23:13:44.667657, Interval: 32.134, Type: Eyes not on road
Date: 2023-11-15 23:13:54.365283, Interval: 6.625, Type: Eyes not on road
Date: 2023-11-15 23:16:05.155888, Interval: 19.952, Type: Eyes not on road
Date: 2023-11-15 23:16:56.960437, Interval: 4.171, Type: Eyes not on road
Date: 2023-11-15 23:17:00.638318, Interval: 3.667, Type:Normal
Date: 2023-11-15 23:21:18.184742, Interval: 3.48, Type: Eyes not on road
Date: 2023-11-15 23:22:26.493188, Interval: 3.146, Type: Eyes not on road
Date: 2023-11-15 23:26:35.706634, Interval: 19.552, Type: Eyes not on road
Date: 2023-11-15 23:26:41.655396, Interval: 3.798, Type: Eyes not on road
Date: 2023-11-15 23:29:03.544454, Interval: 19.976, Type: Eyes not on road
Date: 2023-11-15 23:29:07.280368, Interval: 3.724, Type:Normal
Date: 2023-11-15 23:29:09.784003, Interval: 1.578, Type:Normal
Date: 2023-11-15 23:29:19.212888, Interval: 4.768, Type:Normal
Date: 2023-11-15 23:35:53.737415, Interval: 20.177, Type: Eyes not on road
Date: 2023-11-15 23:37:37.757000, Interval: 25.678, Type: Eyes not on road
